spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,chroma_stft_C,chroma_stft_C#,chroma_stft_D,chroma_stft_D#,chroma_stft_E,chroma_stft_F,chroma_stft_F#,chroma_stft_G,chroma_stft_G#,chroma_stft_A,chroma_stft_A#,chroma_stft_B,chroma_cens_C,chroma_cens_C#,chroma_cens_D,chroma_cens_D#,chroma_cens_E,chroma_cens_F,chroma_cens_F#,chroma_cens_G,chroma_cens_G#,chroma_cens_A,chroma_cens_A#,chroma_cens_B,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,label,filename,source_file,segment_id
647.442830598,88.312756083,35.016866496,7.052219662,7.329705036,3.532212604,0.406475950,0.605547482,0.417159641,0.349312730,0.581700853,0.460674284,0.407913718,0.415861231,0.776410257,0.924489485,0.596999550,0.569545228,0.139649425,0.269668183,0.146171316,0.091921953,0.298918195,0.179202672,0.140077577,0.175391545,0.430607475,0.470599532,0.277932022,0.225680924,-0.066333821,0.032309115,0.052596652,0.100734483,-0.019004248,-0.003149179,Adur,00051_seg0.wav,Adur/00051.wav,0
669.634889722,107.068011052,36.659336532,4.598814686,8.387550316,3.230172161,0.267404536,0.524129607,0.288616980,0.209910008,0.612404241,0.324650604,0.281592107,0.327990106,0.695709859,0.985342755,0.547032180,0.491836828,0.068972242,0.273100717,0.118618610,0.020148088,0.328839920,0.125143304,0.105619629,0.152756340,0.416280326,0.549092938,0.306706795,0.221930818,-0.101693002,0.083687064,0.082474127,0.144761753,-0.029142861,0.032845113,Adur,00051_seg1.wav,Adur/00051.wav,1
631.016437776,105.519445075,37.645346035,4.895187999,7.944489194,3.393605001,0.252440010,0.510878085,0.275268175,0.194863058,0.590475051,0.290916572,0.259124673,0.314401478,0.698115277,0.984500875,0.465598261,0.429856192,0.063890064,0.286027199,0.090303317,0.017078127,0.393362195,0.128940477,0.068641945,0.151303953,0.417868766,0.581834298,0.211979263,0.186803435,-0.108427293,0.095476201,0.102733434,0.160862969,-0.018385469,0.030783059,Adur,00051_seg2.wav,Adur/00051.wav,2
642.968227735,89.021592465,35.399010366,7.279293072,7.106466944,3.652246523,0.434898888,0.618218488,0.433915122,0.350017877,0.645004549,0.480145473,0.400089171,0.398442566,0.757843143,0.918704085,0.593783998,0.592114880,0.146505863,0.273502160,0.149879296,0.091134479,0.355608961,0.187002118,0.129604750,0.142649809,0.388124324,0.494815604,0.228645283,0.253064663,-0.066443094,0.042066111,0.061897517,0.102140196,-0.023557284,-0.001120457,Adur,00052_seg0.wav,Adur/00052.wav,0
605.152620641,90.934178322,37.894819924,8.647791032,6.780294476,3.536971848,0.353701495,0.581594402,0.349105344,0.298195286,0.675453865,0.440435278,0.335594980,0.371054911,0.737111314,0.978655822,0.577727508,0.533109386,0.135592703,0.273700103,0.104457273,0.071964590,0.353427040,0.171324641,0.098014753,0.159194322,0.389821864,0.523312213,0.269286303,0.237679972,-0.078204540,0.059395666,0.080850433,0.128106431,-0.026741878,0.020299272,Adur,00052_seg1.wav,Adur/00052.wav,1
602.041244898,95.455175433,38.780304611,9.541138510,7.095393919,1.255019114,0.301488850,0.625038505,0.301785154,0.237325928,0.616034407,0.345105286,0.276261280,0.324848621,0.727031165,0.990002923,0.455665439,0.428017727,0.099658966,0.362308445,0.103213457,0.028444197,0.348441997,0.139313057,0.066701719,0.138862570,0.389749891,0.576677356,0.208573572,0.183487590,-0.106483975,0.073667988,0.108524673,0.172325894,-0.018953927,0.033795306,Adur,00052_seg2.wav,Adur/00052.wav,2
641.675616733,90.662351662,33.860704451,9.570055809,7.624532830,4.096712581,0.494400132,0.530592541,0.467812509,0.390516028,0.597368231,0.506044436,0.422837306,0.468792234,0.865385291,0.897384052,0.695775707,0.722365410,0.181583684,0.180897422,0.163725134,0.103560461,0.238027222,0.186935864,0.144590104,0.186536450,0.443431304,0.433212797,0.333385433,0.350099171,-0.045171774,0.021899824,0.052516468,0.049912691,-0.031438171,-0.033010363,Adur,00053_seg0.wav,Adur/00053.wav,0
636.738881764,105.816965262,36.932402318,6.922803987,7.054847012,0.814366343,0.341521105,0.577166681,0.337364080,0.242439141,0.691618869,0.356532436,0.310886290,0.342464810,0.666018814,0.970045807,0.477622617,0.510335359,0.122698518,0.324372521,0.135291082,0.022819998,0.380405888,0.152501955,0.093673255,0.136706356,0.350906512,0.543339222,0.220370447,0.240572012,-0.099097547,0.100937228,0.098434791,0.138822698,-0.019689075,0.032508917,Adur,00053_seg1.wav,Adur/00053.wav,1
608.267356100,100.035225860,37.964479687,8.555901103,7.772137907,1.357644136,0.313542714,0.525316543,0.329334994,0.239607126,0.582785010,0.338638704,0.306369322,0.338303614,0.672421400,0.996235723,0.521119432,0.514050313,0.113634818,0.299453887,0.123384644,0.047419917,0.315964566,0.115896286,0.107177215,0.140350403,0.388726239,0.579498119,0.235869700,0.233148652,-0.089661170,0.089315766,0.072551133,0.135305942,-0.009727509,0.017248009,Adur,00053_seg2.wav,Adur/00053.wav,2
648.229480583,104.650691291,36.563791637,5.173724941,6.991172720,2.164495522,0.398551642,0.574898596,0.397732740,0.332079505,0.685839813,0.444478893,0.372845811,0.401267325,0.737289241,0.952458804,0.597192038,0.560477887,0.099653960,0.232910162,0.123677068,0.067747527,0.382794498,0.179314882,0.115138537,0.158554830,0.366468163,0.519984339,0.277953698,0.224898751,-0.068042732,0.057980375,0.070317926,0.105034823,-0.022254067,0.015994562,Adur,00054_seg0.wav,Adur/00054.wav,0
