spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,chroma_stft_C,chroma_stft_C#,chroma_stft_D,chroma_stft_D#,chroma_stft_E,chroma_stft_F,chroma_stft_F#,chroma_stft_G,chroma_stft_G#,chroma_stft_A,chroma_stft_A#,chroma_stft_B,chroma_cens_C,chroma_cens_C#,chroma_cens_D,chroma_cens_D#,chroma_cens_E,chroma_cens_F,chroma_cens_F#,chroma_cens_G,chroma_cens_G#,chroma_cens_A,chroma_cens_A#,chroma_cens_B,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,label,filename,source_file,segment_id
641.933350,54.214775,36.666885,6.862336,7.480062,3.592740,0.389335,0.529748,0.384959,0.404354,0.480681,0.393941,0.578288,0.454807,0.575043,0.948073,0.459168,0.530940,0.181889,0.277824,0.165782,0.181763,0.302668,0.204686,0.310480,0.228222,0.318460,0.515973,0.237674,0.258927,-0.478297,0.428762,0.022645,0.481661,0.415407,0.034227,Adur,00051_seg0.wav,Adur/00051.wav,0
641.648193,55.509834,39.611485,4.040564,8.839363,3.444729,0.293895,0.478668,0.292880,0.276253,0.526386,0.328961,0.398905,0.372260,0.548472,0.997568,0.484936,0.468204,0.151929,0.305638,0.137277,0.092262,0.318152,0.187837,0.231761,0.217582,0.326778,0.573200,0.295387,0.265516,-0.466272,0.552283,0.192035,0.688481,0.216238,0.193760,Adur,00051_seg1.wav,Adur/00051.wav,1
621.628418,62.201065,40.027916,4.127146,8.072317,3.414654,0.273585,0.461968,0.285387,0.264885,0.518652,0.311425,0.397840,0.366243,0.570533,0.995349,0.438002,0.421751,0.105759,0.277615,0.126597,0.117553,0.311174,0.191783,0.234481,0.229911,0.361880,0.598115,0.265433,0.248636,-0.485598,0.560667,0.241540,0.715863,0.244679,0.169540,Adur,00051_seg2.wav,Adur/00051.wav,2
630.802979,46.655254,37.536453,7.087120,7.160457,3.459694,0.412882,0.578039,0.406977,0.433285,0.558510,0.437585,0.581596,0.456297,0.566272,0.973569,0.464884,0.565763,0.162834,0.279341,0.167568,0.180902,0.326290,0.217257,0.275591,0.206767,0.280766,0.541333,0.239938,0.286236,-0.511612,0.486632,0.084209,0.533849,0.384169,0.070263,Adur,00052_seg0.wav,Adur/00052.wav,0
595.383362,61.387711,40.450699,8.706685,6.894584,3.531227,0.344737,0.514381,0.329556,0.376654,0.559016,0.397124,0.484700,0.416954,0.549068,0.989516,0.461402,0.507963,0.167764,0.285495,0.139481,0.164580,0.322189,0.218944,0.239830,0.225209,0.326470,0.544594,0.262404,0.281791,-0.478890,0.514003,0.177165,0.599450,0.327875,0.145529,Adur,00052_seg1.wav,Adur/00052.wav,1
587.391052,47.312912,41.486160,9.599375,6.739582,0.582282,0.340503,0.585156,0.334332,0.320864,0.548721,0.347349,0.422343,0.385163,0.569767,0.998235,0.420619,0.416238,0.189253,0.380729,0.185100,0.159399,0.333807,0.183528,0.227085,0.214481,0.328181,0.534901,0.232299,0.223664,-0.496468,0.518868,0.281698,0.808474,0.278273,0.235534,Adur,00052_seg2.wav,Adur/00052.wav,2
635.195984,56.027336,35.328526,9.955738,7.898802,4.174828,0.443367,0.508298,0.415666,0.466999,0.504977,0.442623,0.643593,0.529864,0.636548,0.973427,0.516879,0.678794,0.210420,0.228563,0.186958,0.193312,0.255059,0.216749,0.325026,0.228907,0.304077,0.498430,0.265962,0.346302,-0.490571,0.433701,0.008756,0.248691,0.410563,-0.098392,Adur,00053_seg0.wav,Adur/00053.wav,0
624.838928,55.846004,39.136330,6.581264,7.008428,0.769795,0.347732,0.529898,0.334339,0.330200,0.603857,0.356810,0.458862,0.395845,0.535715,0.994805,0.416386,0.486962,0.178093,0.310935,0.174749,0.143061,0.368301,0.205560,0.262268,0.226806,0.318048,0.521624,0.233472,0.268299,-0.534363,0.650614,0.277717,0.668507,0.301694,0.201056,Adur,00053_seg1.wav,Adur/00053.wav,1
591.938843,52.396866,40.674919,8.565371,7.866714,1.247410,0.312973,0.476398,0.306521,0.311092,0.487533,0.324731,0.440041,0.388434,0.527113,0.997923,0.440388,0.468702,0.148273,0.270215,0.129819,0.116844,0.300578,0.181751,0.260531,0.233646,0.315055,0.572176,0.294988,0.269605,-0.461797,0.564626,0.140669,0.630823,0.352119,0.143487,Adur,00053_seg2.wav,Adur/00053.wav,2
647.899719,54.952431,38.208313,5.044065,7.247884,2.217024,0.380399,0.549450,0.379595,0.405121,0.582644,0.409428,0.538039,0.450437,0.569690,0.971257,0.493233,0.550161,0.156881,0.275003,0.167751,0.177353,0.320035,0.215410,0.261336,0.225769,0.317211,0.514155,0.257909,0.300711,-0.505021,0.499803,0.121866,0.524417,0.302498,0.144532,Adur,00054_seg0.wav,Adur/00054.wav,0
